slug,title,date,month,year,category,sub_category,authors,keywords,jel_codes,page_url,pdf_url,extra_pdf_urls,cited_external_pdfs,pdf_path,fulltext_path,word_count
unveiling-the-smog-crisis-solutions-ahead,Unveiling the Smog Crisis: Solutions Ahead,2024-10-21,2024-10,2024,Research Reports,Recent Publications; Research Report; Center for Agriculture‚ Climate Change and Rural Economy,Sobia Rose; Muhammad Faisal Ali,,,https://pide.org.pk/research/unveiling-the-smog-crisis-solutions-ahead/,https://file.pide.org.pk/pdfpideresearch/rr-unveiling-the-smog-crisis-solutions-ahead.pdf,,,pdfs/2024/10/rr-unveiling-the-smog-crisis-solutions-ahead.pdf,data/fulltext/unveiling-the-smog-crisis-solutions-ahead.txt,1786
unlocking-state-captured-real-estate,Unlocking State Captured Real Estate,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Governance‚ Markets and Regulatory Analysis,Azwar Muhammad Aslam,,,https://pide.org.pk/research/unlocking-state-captured-real-estate/,https://file.pide.org.pk/pdfpideresearch/book-60-19-unlocking-state-captured-real-estate.pdf,https://file.pide.org.pk/pdfpideresearch/rr-unlocking-state-captured-real-estate%E2%80%93the-case-of-islamabad.pdf,,pdfs/2024/10/book-60-19-unlocking-state-captured-real-estate.pdf,data/fulltext/unlocking-state-captured-real-estate.txt,565
transforming-education-in-pakistan-pides-research-perspectives,Transforming Education in Pakistan: PIDE’s Research Perspectives,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Social and Behavioral Analysis,Muhammad Jehangir Khan,,,https://pide.org.pk/research/transforming-education-in-pakistan-pides-research-perspectives/,https://file.pide.org.pk/pdfpideresearch/book-60-15-transforming-education-in-pakistan-pides-research.pdf,,,pdfs/2024/10/book-60-15-transforming-education-in-pakistan-pides-research.pdf,data/fulltext/transforming-education-in-pakistan-pides-research-perspectives.txt,990
the-paradox-of-elite-capture-a-double-edged-sword,The Paradox of Elite Capture: A Double-Edged Sword,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Governance‚ Markets and Regulatory Analysis,Tehmina Asad,,,https://pide.org.pk/research/the-paradox-of-elite-capture-a-double-edged-sword/,https://file.pide.org.pk/pdfpideresearch/book-60-11-the-paradox-of-elite-capture-a-double-edged-sword.pdf,,,pdfs/2024/10/book-60-11-the-paradox-of-elite-capture-a-double-edged-sword.pdf,data/fulltext/the-paradox-of-elite-capture-a-double-edged-sword.txt,472
the-import-substitution-policy-and-strong-domestic-commerce-case-study-of-mobile-phones,The Import Substitution Policy and Strong Domestic Commerce: Case Study of Mobile Phones,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Abid Rehman,,,https://pide.org.pk/research/the-import-substitution-policy-and-strong-domestic-commerce-case-study-of-mobile-phones/,https://file.pide.org.pk/pdfpideresearch/book-60-06-the-import-substitution-policy-and-strong-domestic.pdf,,,pdfs/2024/10/book-60-06-the-import-substitution-policy-and-strong-domestic.pdf,data/fulltext/the-import-substitution-policy-and-strong-domestic-commerce-case-study-of-mobile-phones.txt,632
stunted-seth-state-owned-companies,Stunted Seth-State Owned Companies,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Anjeela Khurram,,,https://pide.org.pk/research/stunted-seth-state-owned-companies/,https://file.pide.org.pk/pdfpideresearch/book-60-08-stunted-seth-state-owned-companies.pdf,,,pdfs/2024/10/book-60-08-stunted-seth-state-owned-companies.pdf,data/fulltext/stunted-seth-state-owned-companies.txt,591
sludge-economy-of-pakistan-a-dynamic-cge-sludge-framework,Sludge economy of Pakistan: A dynamic CGE-Sludge Framework,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Governance‚ Markets and Regulatory Analysis,Muhammad Zeshan,,,https://pide.org.pk/research/sludge-economy-of-pakistan-a-dynamic-cge-sludge-framework/,https://file.pide.org.pk/pdfpideresearch/book-60-07-sludge-economy-of-pakistan-a-dynamic-cge-sludge-framework.pdf,,,pdfs/2024/10/book-60-07-sludge-economy-of-pakistan-a-dynamic-cge-sludge-framework.pdf,data/fulltext/sludge-economy-of-pakistan-a-dynamic-cge-sludge-framework.txt,518
seth-owned-unlisted-non-corporatised-stagnant-enterprises-of-pakistan,"Seth-owned, Unlisted, Non-corporatised Stagnant Enterprises of Pakistan",2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Usman Qadir,,,https://pide.org.pk/research/seth-owned-unlisted-non-corporatised-stagnant-enterprises-of-pakistan/,https://file.pide.org.pk/pdfpideresearch/book-60-10-seth-owned-unlisted-non-corporatized-stagnant-enterprises.pdf,,,pdfs/2024/10/book-60-10-seth-owned-unlisted-non-corporatized-stagnant-enterprises.pdf,data/fulltext/seth-owned-unlisted-non-corporatised-stagnant-enterprises-of-pakistan.txt,490
reshape-cities-into-economic-machines,Reshape Cities Into Economic Machines,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Governance‚ Markets and Regulatory Analysis,Saddam Hussein,,,https://pide.org.pk/research/reshape-cities-into-economic-machines/,https://file.pide.org.pk/pdfpideresearch/book-60-25-reshape-cities-into-economic-machines.pdf,,,pdfs/2024/10/book-60-25-reshape-cities-into-economic-machines.pdf,data/fulltext/reshape-cities-into-economic-machines.txt,1203
reer-as-a-measure-of-exchange-rate-misalignment,REER as a Measure of Exchange Rate Misalignment,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Macro Policy Lab; Center for Economic Modelling and Data Analytics,Hafsa Hina,,,https://pide.org.pk/research/reer-as-a-measure-of-exchange-rate-misalignment/,https://file.pide.org.pk/pdfpideresearch/book-60-02-reer-as-a-measure-of-exchange-rate-misalignment.pdf,,,pdfs/2024/10/book-60-02-reer-as-a-measure-of-exchange-rate-misalignment.pdf,data/fulltext/reer-as-a-measure-of-exchange-rate-misalignment.txt,271
pides-vision-on-environmental-issues,PIDE’s Vision on Environmental Issues,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Agriculture‚ Climate Change and Rural Economy,Sobia Rose,,,https://pide.org.pk/research/pides-vision-on-environmental-issues/,https://file.pide.org.pk/pdfpideresearch/book-60-18-pides-vision-on-environmental-issues-a-concise.pdf,,,pdfs/2024/10/book-60-18-pides-vision-on-environmental-issues-a-concise.pdf,data/fulltext/pides-vision-on-environmental-issues.txt,1011
pides-vision-for-reforming-agricultural-markets,PIDE’s vision for reforming agricultural markets,2024-10-21,2024-10,2024,PIDE in Press,PIDE in Press,Muhammad Faisal Ali; Abedullah Anjum,,,https://pide.org.pk/research/pides-vision-for-reforming-agricultural-markets/,https://file.pide.org.pk/pdfpideinpress/pip-pides-vision-for-reforming-agricultural-markets.pdf,,,pdfs/2024/10/pip-pides-vision-for-reforming-agricultural-markets.pdf,data/fulltext/pides-vision-for-reforming-agricultural-markets.txt,1028
pides-prescription-for-better-agriculture-in-pakistan,PIDE’s Prescription for Better Agriculture in Pakistan,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Agriculture‚ Climate Change and Rural Economy,Muhammad Faisal Ali; Abedullah Anjum,,,https://pide.org.pk/research/pides-prescription-for-better-agriculture-in-pakistan/,https://file.pide.org.pk/pdfpideresearch/book-60-21-pides-prescription-for-better-agriculture-in-pakistan.pdf,,,pdfs/2024/10/book-60-21-pides-prescription-for-better-agriculture-in-pakistan.pdf,data/fulltext/pides-prescription-for-better-agriculture-in-pakistan.txt,940
people-versus-cars-rethinking-pakistans-urban-mobility,People versus Cars: Rethinking Pakistan’s Urban Mobility,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Mohammad Shaaf Najib,,,https://pide.org.pk/research/people-versus-cars-rethinking-pakistans-urban-mobility/,https://file.pide.org.pk/pdfpideresearch/book-60-26-people-versus-cars-rethinking-pakistans-urban.pdf,,,pdfs/2024/10/book-60-26-people-versus-cars-rethinking-pakistans-urban.pdf,data/fulltext/people-versus-cars-rethinking-pakistans-urban-mobility.txt,1227
opportunities-not-relief,"Opportunities, not “Relief”!",2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Social and Behavioral Analysis,Durr-e-Nayab,,,https://pide.org.pk/research/opportunities-not-relief/,https://file.pide.org.pk/pdfpideresearch/book-60-12-opportunities-not-relief.pdf,,,pdfs/2024/10/book-60-12-opportunities-not-relief.pdf,data/fulltext/opportunities-not-relief.txt,639
misunderstanding-markets-the-case-for-a-market-friendly-government-in-pakistan,Misunderstanding Markets: The Case for a Market-Friendly Government in Pakistan,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Governance‚ Markets and Regulatory Analysis,Abbas Murtaza Maken,,,https://pide.org.pk/research/misunderstanding-markets-the-case-for-a-market-friendly-government-in-pakistan/,https://file.pide.org.pk/pdfpideresearch/book-60-20-misunderstanding-markets-the-case-for-a-market-friendly-government.pdf,,,pdfs/2024/10/book-60-20-misunderstanding-markets-the-case-for-a-market-friendly-government.pdf,data/fulltext/misunderstanding-markets-the-case-for-a-market-friendly-government-in-pakistan.txt,747
key-takeaways-from-research-on-cities,Key Takeaways from Research on Cities,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Sustainable Futures; Center for Governance‚ Markets and Regulatory Analysis,Lubna Hasan,,,https://pide.org.pk/research/key-takeaways-from-research-on-cities/,https://file.pide.org.pk/pdfpideresearch/book-60-22-key-takeaways-from-research-on-cities.pdf,,,pdfs/2024/10/book-60-22-key-takeaways-from-research-on-cities.pdf,data/fulltext/key-takeaways-from-research-on-cities.txt,995
internet-for-all-a-vision-and-a-mission,Internet for All: A Vision and a Mission,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Fizzah Khalid Butt,,,https://pide.org.pk/research/internet-for-all-a-vision-and-a-mission/,https://file.pide.org.pk/pdfpideresearch/book-60-13-internet-for-all-a-vision-and-a-mission.pdf,,,pdfs/2024/10/book-60-13-internet-for-all-a-vision-and-a-mission.pdf,data/fulltext/internet-for-all-a-vision-and-a-mission.txt,402
hard-vs-soft-infrastructure-blue-print-of-paradigm-shift,Hard vs Soft Infrastructure? Blue Print of Paradigm Shift,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Energy‚ Logistics‚ and Infrastructure,Saba Anwar,,,https://pide.org.pk/research/hard-vs-soft-infrastructure-blue-print-of-paradigm-shift/,https://file.pide.org.pk/pdfpideresearch/book-60-23-hard-vs-soft-infrastructure-blue-print-of-paradigm-shift.pdf,,,pdfs/2024/10/book-60-23-hard-vs-soft-infrastructure-blue-print-of-paradigm-shift.pdf,data/fulltext/hard-vs-soft-infrastructure-blue-print-of-paradigm-shift.txt,736
export-subsidies-and-import-substitution-steering-mercantilism-in-the-modern-time,Export Subsidies and Import Substitution: Steering Mercantilism in the Modern Time,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Uzma Zia,,,https://pide.org.pk/research/export-subsidies-and-import-substitution-steering-mercantilism-in-the-modern-time/,https://file.pide.org.pk/pdfpideresearch/book-60-03-export-subsidies-and-import-substitution-steering.pdf,,,pdfs/2024/10/book-60-03-export-subsidies-and-import-substitution-steering.pdf,data/fulltext/export-subsidies-and-import-substitution-steering-mercantilism-in-the-modern-time.txt,554
energy-policy-directions-seeking-the-right-path,Energy Policy Directions: Seeking the Right Path,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Energy‚ Logistics‚ and Infrastructure,Afia Malik,,,https://pide.org.pk/research/energy-policy-directions-seeking-the-right-path/,https://file.pide.org.pk/pdfpideresearch/book-60-17-energy-policy-directions-seeking-the-right-path.pdf,,,pdfs/2024/10/book-60-17-energy-policy-directions-seeking-the-right-path.pdf,data/fulltext/energy-policy-directions-seeking-the-right-path.txt,551
doing-development-better-2,Doing Development Better,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Sustainable Futures; Center for Social and Behavioral Analysis,Mohammad Shaaf Najib,,,https://pide.org.pk/research/doing-development-better-2/,https://file.pide.org.pk/pdfpideresearch/book-60-01-doing-development-better.pdf,,,pdfs/2024/10/book-60-01-doing-development-better.pdf,data/fulltext/doing-development-better-2.txt,393
celebrating-five-years-of-reason-rigor-research,"Celebrating Five Years of Reason, Rigor & Research",2024-10-21,2024-10,2024,Book,Recent Publications; Books; Center for Industry‚ Trade &amp; Digital Economy; Center for Energy‚ Logistics‚ and Infrastructure,Mohammad Shaaf Najib; Hafsa Hina; Uzma Zia; Iftikhar Ahmad; Omer Siddique; Abid Rehman; Muhammad Zeshan; Anjeela Khurram; Farhat Mahmood; Tehmina Asad; Durr-e-Nayab; Fizzah Khalid Butt; Henna Ahsan; Muhammad Jehangir Khan; Ghulam Mustafa; Afia Malik; Sobia Rose; Azwar Muhammad Aslam; Abbas Murtaza Maken; Abedullah Anjum; Muhammad Faisal Ali; Lubna Hasan; Saba Anwar; Yasir Zada Khan; Usman Qadir; Saddam Hussein; Haris Azeem,,,https://pide.org.pk/research/celebrating-five-years-of-reason-rigor-research/,https://file.pide.org.pk/pdfpideresearch/book-celebrating-five-years-of-reason-rigor-research.pdf,,,pdfs/2024/10/book-celebrating-five-years-of-reason-rigor-research.pdf,data/fulltext/celebrating-five-years-of-reason-rigor-research.txt,1396
business-community-problems-in-pakistan-an-overview,Business Community Problems in Pakistan: An Overview,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Industry‚ Trade &amp; Digital Economy,Farhat Mahmood,,,https://pide.org.pk/research/business-community-problems-in-pakistan-an-overview/,https://file.pide.org.pk/pdfpideresearch/book-60-09-business-community-problems-in-pakistan-an-overview.pdf,,,pdfs/2024/10/book-60-09-business-community-problems-in-pakistan-an-overview.pdf,data/fulltext/business-community-problems-in-pakistan-an-overview.txt,511
brain-drain-in-pakistan-analyzing-trend-causes-and-consequences,"Brain Drain in Pakistan: Analyzing Trend, Causes and Consequences",2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Social and Behavioral Analysis,Henna Ahsan,,,https://pide.org.pk/research/brain-drain-in-pakistan-analyzing-trend-causes-and-consequences/,https://file.pide.org.pk/pdfpideresearch/book-60-14-brain-drain-in-pakistan-analyzing-trend-causes-and-consequences.pdf,,,pdfs/2024/10/book-60-14-brain-drain-in-pakistan-analyzing-trend-causes-and-consequences.pdf,data/fulltext/brain-drain-in-pakistan-analyzing-trend-causes-and-consequences.txt,808
assessing-fiscal-resource-distribution-in-pakistan-the-nfc-awards,Assessing Fiscal Resource Distribution in Pakistan- The NFC Awards,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Macro Policy Lab,Iftikhar Ahmad,,,https://pide.org.pk/research/assessing-fiscal-resource-distribution-in-pakistan-the-nfc-awards/,https://file.pide.org.pk/pdfpideresearch/book-60-04-assessing-fiscal-resource-distribution-in-pakistan.pdf,,,pdfs/2024/10/book-60-04-assessing-fiscal-resource-distribution-in-pakistan.pdf,data/fulltext/assessing-fiscal-resource-distribution-in-pakistan-the-nfc-awards.txt,1445
analysis-of-research-and-development-in-pakistan,Analysis of Research and Development in Pakistan,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Sustainable Futures; Center for Social and Behavioral Analysis,Ghulam Mustafa,,,https://pide.org.pk/research/analysis-of-research-and-development-in-pakistan/,https://file.pide.org.pk/pdfpideresearch/book-60-16-analysis-of-research-and-development-in-pakistan.pdf,,,pdfs/2024/10/book-60-16-analysis-of-research-and-development-in-pakistan.pdf,data/fulltext/analysis-of-research-and-development-in-pakistan.txt,896
a-case-for-domestic-commerce-led-growth,A Case for Domestic Commerce-Led Growth,2024-10-21,2024-10,2024,Book Chapter,Book Chapter; Book - Celebrating Five Years of Reason Rigor &amp; Research; Center for Governance‚ Markets and Regulatory Analysis,Omer Siddique,,,https://pide.org.pk/research/a-case-for-domestic-commerce-led-growth/,https://file.pide.org.pk/pdfpideresearch/book-60-05-a-case-for-domestic-commerce-led-growth.pdf,,,pdfs/2024/10/book-60-05-a-case-for-domestic-commerce-led-growth.pdf,data/fulltext/a-case-for-domestic-commerce-led-growth.txt,505
why-do-indians-experience-less-happiness-than-pakistanis,Why Do Indians Experience Less Happiness  Than Pakistanis? (Article),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,P Azad; PK Sujathan; Aamir Ahmad Teeli,Pakistan; India; Happiness Inequality; Social Factors; World Values Survey; FFL Decomposition,,https://pide.org.pk/research/why-do-indians-experience-less-happiness-than-pakistanis/,https://file.pide.org.pk/pdfpdr/2024/417-428.pdf,,,pdfs/2024/10/417-428.pdf,data/fulltext/why-do-indians-experience-less-happiness-than-pakistanis.txt,1383
vol-63-no-3-2024,Vol. 63 No.3-2024,2024-10-18,2024-10,2024,PDR,Recent Publications; PDR issue; 2024; Vol. 63 No.3-2024,,,,https://pide.org.pk/research/vol-63-no-3-2024/,https://file.pide.org.pk/pdfpdr/issue/pdr-2024-v63i3.pdf,https://file.pide.org.pk/pdfpdr/2024/357-382.pdf; https://file.pide.org.pk/pdfpdr/2024/383-398.pdf; https://file.pide.org.pk/pdfpdr/2024/399-416.pdf; https://file.pide.org.pk/pdfpdr/2024/417-428.pdf; https://file.pide.org.pk/pdfpdr/2024/429-448.pdf; https://file.pide.org.pk/pdfpdr/2024/449-462.pdf; https://file.pide.org.pk/pdfpdr/2024/463-474.pdf; https://file.pide.org.pk/pdfpdr/2024/475-477.pdf,,pdfs/2024/10/pdr-2024-v63i3.pdf,,0
understanding-the-role-of-income-in-personal-happiness-a-comprehensive-psm-analysis-in-the-united-states-article,Understanding the Role of Income in Personal  Happiness: A Comprehensive PSM Analysis  in the United States (Article),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Hicham Ouakil; Lakhal Tarik; Hicham El Ouazzani; Abdelhamid Moustabchir,Income; Individual happiness; Propensity score matching (PSM); United States; GSS 2022,I31; D31,https://pide.org.pk/research/understanding-the-role-of-income-in-personal-happiness-a-comprehensive-psm-analysis-in-the-united-states-article/,https://file.pide.org.pk/pdfpdr/2024/399-416.pdf,,,pdfs/2024/10/399-416.pdf,data/fulltext/understanding-the-role-of-income-in-personal-happiness-a-comprehensive-psm-analysis-in-the-united-states-article.txt,2183
pakistans-urban-water-challenges-and-prospects-policy,Pakistan’s Urban Water Challenges and Prospects (Policy),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Nazam Maqbool,,,https://pide.org.pk/research/pakistans-urban-water-challenges-and-prospects-policy/,https://file.pide.org.pk/pdfpdr/2024/449-462.pdf,,,pdfs/2024/10/449-462.pdf,data/fulltext/pakistans-urban-water-challenges-and-prospects-policy.txt,495
issues-of-food-pricing-policy-in-pakistan-and-the-way-forward,Issues of Food Pricing Policy in Pakistan  and the Way Forward (Article),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Abedullah Anjum; Farah Naz,,,https://pide.org.pk/research/issues-of-food-pricing-policy-in-pakistan-and-the-way-forward/,https://file.pide.org.pk/pdfpdr/2024/357-382.pdf,,,pdfs/2024/10/357-382.pdf,data/fulltext/issues-of-food-pricing-policy-in-pakistan-and-the-way-forward.txt,1741
forex-savings-through-biogas-energy-in-pakistan,Forex Savings through Biogas  Energy in Pakistan (Policy),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Syed Muhammad Mehdi,,,https://pide.org.pk/research/forex-savings-through-biogas-energy-in-pakistan/,https://file.pide.org.pk/pdfpdr/2024/463-474.pdf,,,pdfs/2024/10/463-474.pdf,data/fulltext/forex-savings-through-biogas-energy-in-pakistan.txt,754
feminisation-of-migration-historical-aspects-contemporary-trends-and-socio-economic-empowerment-of-women,"Feminisation of Migration; Historical Aspects, Contemporary Trends and Socio-economic Empowerment of Women (Article)",2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Meetha Ram; Bakhtawar Nizamani,Migration; Feminisation; Women Migration; Migration Trends; Women Empowerment,E24; A14; J11; J15; J61; J01,https://pide.org.pk/research/feminisation-of-migration-historical-aspects-contemporary-trends-and-socio-economic-empowerment-of-women/,https://file.pide.org.pk/pdfpdr/2024/429-448.pdf,,,pdfs/2024/10/429-448.pdf,data/fulltext/feminisation-of-migration-historical-aspects-contemporary-trends-and-socio-economic-empowerment-of-women.txt,1802
evidence-of-turkey-falling-into-the-middle-income-trap,Evidence of Turkey Falling into the Middle Income Trap (Article),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Bilal Kargi,Economic Growth; Middle Income Trap (MIT); Convergence Hypothesis; Capital Movements,F44; F43; F21; E22,https://pide.org.pk/research/evidence-of-turkey-falling-into-the-middle-income-trap/,https://file.pide.org.pk/pdfpdr/2024/383-398.pdf,,,pdfs/2024/10/383-398.pdf,data/fulltext/evidence-of-turkey-falling-into-the-middle-income-trap.txt,915
a-practical-guide-for-policy-analysis-the-eightfold-path-to-more-effective-book-review,A Practical Guide for Policy Analysis: The Eightfold Path to More Effective (Book Review),2024-10-18,2024-10,2024,PDR,PDR; 2024; Vol. 63 No.3-2024,Asad Ejaz Butt,,,https://pide.org.pk/research/a-practical-guide-for-policy-analysis-the-eightfold-path-to-more-effective-book-review/,https://file.pide.org.pk/pdfpdr/2024/475-477.pdf,,,pdfs/2024/10/475-477.pdf,data/fulltext/a-practical-guide-for-policy-analysis-the-eightfold-path-to-more-effective-book-review.txt,1229
building-bridges,Building bridges,2024-10-15,2024-10,2024,PIDE in Press,PIDE in Press,Nasir Iqbal,,,https://pide.org.pk/research/building-bridges/,https://file.pide.org.pk/pdfpideinpress/pip-building-bridges.pdf,,,pdfs/2024/10/pip-building-bridges.pdf,data/fulltext/building-bridges.txt,1040
why-the-sco-meeting-matters,Why the SCO meeting matters,2024-10-14,2024-10,2024,PIDE in Press,PIDE in Press,Maria Jawad Khan,,,https://pide.org.pk/research/why-the-sco-meeting-matters/,https://file.pide.org.pk/pdfpideinpress/pip-why-the-sco-meeting-matters.pdf,,,pdfs/2024/10/pip-why-the-sco-meeting-matters.pdf,data/fulltext/why-the-sco-meeting-matters.txt,872
pakistans-stunted-business-landscape-needs-a-revamp,Pakistan’s stunted business landscape needs a revamp,2024-10-14,2024-10,2024,PIDE in Press,PIDE in Press,Anjeela Khurram,,,https://pide.org.pk/research/pakistans-stunted-business-landscape-needs-a-revamp/,https://file.pide.org.pk/pdfpideinpress/pip-pakistans-stunted-business-landscape-needs-a-revamp.pdf,,,pdfs/2024/10/pip-pakistans-stunted-business-landscape-needs-a-revamp.pdf,data/fulltext/pakistans-stunted-business-landscape-needs-a-revamp.txt,1032
lifeline-of-balochistan,Lifeline of Balochistan,2024-10-11,2024-10,2024,PIDE in Press,PIDE in Press,Ajmal Kakar,,,https://pide.org.pk/research/lifeline-of-balochistan/,https://file.pide.org.pk/pdfpideinpress/pip-lifeline-of-balochistan.pdf,,,pdfs/2024/10/pip-lifeline-of-balochistan.pdf,data/fulltext/lifeline-of-balochistan.txt,984
reimagining-the-poverty-debate,Reimagining the poverty debate,2024-10-09,2024-10,2024,PIDE in Press,PIDE in Press,Nasir Iqbal,,,https://pide.org.pk/research/reimagining-the-poverty-debate/,https://file.pide.org.pk/pdfpideinpress/pip-reimagining-the-poverty-debate.pdf,,,pdfs/2024/10/pip-reimagining-the-poverty-debate.pdf,data/fulltext/reimagining-the-poverty-debate.txt,1141
pakistans-population-boom-shaping-a-future-powerhouse,Pakistan’s population boom: shaping a future powerhouse,2024-10-09,2024-10,2024,PIDE in Press,PIDE in Press,Abbas Murtaza Maken,,,https://pide.org.pk/research/pakistans-population-boom-shaping-a-future-powerhouse/,https://file.pide.org.pk/pdfpideinpress/pip-pakistans-population-boom-shaping-a-future-powerhouse.pdf,,,pdfs/2024/10/pip-pakistans-population-boom-shaping-a-future-powerhouse.pdf,data/fulltext/pakistans-population-boom-shaping-a-future-powerhouse.txt,1158
media-coverage-pide-festschrift-celebrating-five-years-of-reason-rigor-research,"Media Coverage: PIDE FESTSCHRIFT, Celebrating Five Years of Reason, Rigor & Research",2024-10-08,2024-10,2024,PIDE in Press,PIDE in Press,PIDE,,,https://pide.org.pk/research/media-coverage-pide-festschrift-celebrating-five-years-of-reason-rigor-research/,https://file.pide.org.pk/pdfpideinpress/pip-media-coverage-pide-festschrift-celebrating-five-years-of-reason-rigor-research.pdf,,,pdfs/2024/10/pip-media-coverage-pide-festschrift-celebrating-five-years-of-reason-rigor-research.pdf,data/fulltext/media-coverage-pide-festschrift-celebrating-five-years-of-reason-rigor-research.txt,41
driving-backwards-what-is-wrong-with-pakistans-automobile-industry,Driving Backwards: What is Wrong with Pakistan’s Automobile Industry?,2024-10-08,2024-10,2024,Book,Recent Publications; Books; Center for Industry‚ Trade &amp; Digital Economy,Usman Qadir; Mohammad Shaaf Najib; Saddam Hussein; Mohammad Armughan; Abid Rehman; Anjeela Khurram; Saba Anwar,Competitiveness; Localisation; Global Value Chain; On money; Electric Vehicles,,https://pide.org.pk/research/driving-backwards-what-is-wrong-with-pakistans-automobile-industry/,https://file.pide.org.pk/pdfpideresearch/book-driving-backwards-what-is-wrong-with-pakistans-automobile-industry.pdf,,,pdfs/2024/10/book-driving-backwards-what-is-wrong-with-pakistans-automobile-industry.pdf,data/fulltext/driving-backwards-what-is-wrong-with-pakistans-automobile-industry.txt,1980
the-untapped-value-of-water,The untapped value of water,2024-10-03,2024-10,2024,PIDE in Press,PIDE in Press,Muhammad Faisal Ali,,,https://pide.org.pk/research/the-untapped-value-of-water/,https://file.pide.org.pk/pdfpideinpress/pip-the-untapped-value-of-water.pdf,,,pdfs/2024/10/pip-the-untapped-value-of-water.pdf,data/fulltext/the-untapped-value-of-water.txt,967
brain-drain-in-pakistan-causes-consequences-and-way-forward,"Brain drain in Pakistan: causes, consequences and way forward",2024-10-02,2024-10,2024,PIDE in Press,PIDE in Press,Henna Ahsan,,,https://pide.org.pk/research/brain-drain-in-pakistan-causes-consequences-and-way-forward/,https://file.pide.org.pk/pdfpideinpress/pip-brain-drain-in-pakistan-causes-consequences-and-way-forward.pdf,,,pdfs/2024/10/pip-brain-drain-in-pakistan-causes-consequences-and-way-forward.pdf,data/fulltext/brain-drain-in-pakistan-causes-consequences-and-way-forward.txt,891
